asset_id,asset_name,category,asset_type,evidence_tier,rights_flag,asset_url,owner,author,published_date,identifier,license,distribution,temporal_coverage,tags,related_assets,description,strategic_value,notes,last_updated
vault:conlang-a01,The Klingon Dictionary (TKD),A-Datasets-Benchmarks,schema:Dataset,V,franchise-ip,https://www.simonandschuster.com/books/The-Klingon-Dictionary,Paramount/CBS (IP); Pocket Books (publisher),Marc Okrand,1985/1992,ISBN:0-671-74559-X,All rights reserved (franchise IP),Print (Pocket Books / Simon & Schuster),1985-2026,Klingon; Star Trek; lexicon; Okrand; canon,vault:conlang-a02; vault:conlang-d06; vault:conlang-d07,Creator-published lexicon and grammar of tlhIngan Hol; the canonical anchor of Klingon data.,"Gold-standard creator-published, franchise-licensed conlang dataset.",,2026-09-11
vault:conlang-a02,KLI New Klingon Words List,A-Datasets-Benchmarks,schema:Dataset,V,fair-use-community,https://www.kli.org/about-klingon/new-klingon-words/,Klingon Language Institute,KLI volunteer curation team,ongoing,kli.org/new-klingon-words,Fair-use community compilation,Web,1992-2026,Klingon; canon; KLI; ledger,vault:conlang-a01; vault:conlang-b02; vault:conlang-d06,"Post-TKD canonical additions from confirmed Okrand sources, each entry source-cited.",The canonical-labeling exemplar: every entry carries provenance.,,2026-09-11
vault:conlang-a03,Eldamo: An Elvish Lexicon,A-Datasets-Benchmarks,schema:Dataset,V,open-license,https://eldamo.org/,Paul Strack,Paul Strack,2008; v0.8.13 2026-05-31,eldamo.org; github.com/pfstrack/eldamo,CC-BY,XML data model; GitHub,1910-1973 (Tolkien periods); site 2008-2026,Tolkien; Quenya; Sindarin; XML; open-data,vault:conlang-a04; vault:conlang-d08; vault:conlang-c05,XML-backed lexicon of all Tolkien's invented languages with period stratification and stable per-reference identifiers.,Only conlang dataset on a formal data model with an open license and stable IDs; Croissant pilot candidate.,,2026-09-11
vault:conlang-a04,Parf Edhellen / Elfdict,A-Datasets-Benchmarks,schema:Dataset,C,fair-use-community,https://www.elfdict.com/,Open-source community,Community,~2011-2026,elfdict.com,Fair-use community compilation,Web,2011-2026,Tolkien; Elvish; aggregator; dictionary,vault:conlang-a03; vault:conlang-d08,"Aggregated collaborative Elvish dictionary importing multiple quality sources, searchable by sense and conjugation.",Largest aggregated Elvish lookup surface; illustrates aggregation-versus-canon tension.,,2026-09-11
vault:conlang-a05,Na'vi-English Dictionary (LearnNavi.org),A-Datasets-Benchmarks,schema:Dataset,C,fair-use-community,https://files.learnnavi.org/dicts/NaviDictionary.pdf,LearnNavi community (compilation); Disney/Fox (language IP),Titstewan (Roland R.S.); prev. Mark Miller,2010-2026,learnnavi.org,Fair-use community compilation,PDF; web,2010-2026,Na'vi; Avatar; dictionary; Frommer,vault:conlang-b04,"Most comprehensive fan-maintained Na'vi lexicon, source-tagged per word; canon authority Paul Frommer.",Best example of creator-community co-development with explicit canon labeling.,,2026-09-11
vault:conlang-a06,Dothraki Dictionary (languageinvention.com),A-Datasets-Benchmarks,schema:Dataset,C,franchise-ip,https://wiki.languageinvention.com/index.php?title=Dothraki_Dictionary,HBO (IP); David J. Peterson (documentation),David J. Peterson,2010-2026,wiki.languageinvention.com,All rights reserved (franchise IP); creator-hosted docs,Web wiki,2010-2026,Dothraki; Game of Thrones; Peterson; lexicon,vault:conlang-d09,"Creator-hosted Dothraki lexicon with IPA, part of speech, and glossed example sentences.",First conlang built for a major TV production; deep culture-clustered vocabulary.,,2026-09-11
vault:conlang-a07,Dovahzul Dictionary (Thuum.org),A-Datasets-Benchmarks,schema:Dataset,V,fair-use-community,https://www.thuum.org/,Bethesda Softworks (IP); Thuum.org community (compilation),paarthurnax et al.,2011-2019 (+ESO additions),thuum.org,Unofficial fair-use (Bethesda IP),Web; PDF print editions; CSV/Excel export,2011-2019,Dovahzul; Skyrim; Bethesda; canon-labeling,vault:conlang-c03,Dictionary of the Skyrim dragon language distinguishing canonical from fan-made entries; dual role as dataset and hosting institution.,Clearest canon-versus-reconstruction case study in the domain.,Site largely unmaintained since early 2019; expanded metrics decayed one tier.,2026-09-11
vault:conlang-a08,Belter Creole Dictionary (lang belta),A-Datasets-Benchmarks,schema:Dataset,C,creator-owned,https://archive.org/details/BelterCreoleDictionaryVersion1.1,Nick Farmer (language); TheKreig (compilation),Nick Farmer,2015-2022,archive.org Fictionary v1.1,Creator-owned language; fair-use compilation,E-reader dictionary; web,2015-2026,Belter Creole; The Expanse; creole; Farmer,,English-based creole for The Expanse with wide multilingual lexical influence; distinct novel and TV versions.,Only major creole conlang; strong candidate for sociolinguistic tagging.,,2026-09-11
vault:conlang-a09,Chakobsa / Neo-Chakobsa (Dune films),A-Datasets-Benchmarks,schema:Dataset,C,franchise-ip,https://www.omniglot.com/conscripts/chakobsa.htm,Legendary (IP); David J. and Jessie Peterson (language),David J. Peterson; Jessie Peterson,2021-2024,dedalvs.com glossed dialogue,All rights reserved (franchise IP),Film dialogue; creator documentation; Omniglot reference,2021-2026,Chakobsa; Dune; Peterson; abugida,vault:conlang-c04,"Expanded Fremen language of the 2021/2024 films with full grammar, lexicon, and a custom abugida script.",Recent high-visibility film conlang with a canonical constructed script.,,2026-09-11
vault:conlang-a10,ConlangBench (conlang NLP benchmark),A-Datasets-Benchmarks,schema:Dataset,U,open-license,https://arxiv.org/abs/2608.03505,Academic preprint,ConlangBench authors,2026 (preprint),arXiv:2608.03505,Open (claimed),arXiv; dataset release claimed,2026,NLP; benchmark; LLM; parallel-corpus,vault:conlang-a11,Claimed first large-scale conlang NLP benchmark across 21 constructed languages.,"If genuine and openly licensed, partially closes white-space item 1.",Future-dated arXiv identifier at run time; verification pending.,2026-09-11
vault:conlang-a11,Emergent Translation Klingon MT Dataset,A-Datasets-Benchmarks,schema:Dataset,V,open-license,https://arxiv.org/pdf/1710.06922,Academic authors,Lee et al.,2017,arXiv:1710.06922,Open (paper),arXiv,2017,Klingon; machine-translation; NLP; pIqaD,vault:conlang-d07; vault:conlang-a01,"15,000 English captions machine-translated into Klingon pIqaD via Bing Translator for low-resource MT experiments.",Concrete precedent for conlangs as low-resource MT testbeds.,,2026-09-11
vault:conlang-b01,Duolingo Conlang Courses,B-Distribution-Hosting,schema:Service,S,franchise-ip,https://www.duolingo.com/courses,"Duolingo, Inc.",David J. Peterson (HV); KLI (Klingon),Klingon 2018-03-15; HV 2019,duolingo.com,Proprietary platform; franchise-licensed content,Web; iOS/Android,2018-2026,Duolingo; High Valyrian; Klingon; learning; distribution,vault:conlang-b02; vault:conlang-a06,Largest language-learning platform; carries High Valyrian and Klingon (Esperanto at the auxlang boundary).,Dominant conlang distribution channel and largest audience funnel; all metrics vendor self-reported.,Public counters frozen since 2025-06-23; metrics decayed. Klingon course closed to new users.,2026-09-11
vault:conlang-b02,Klingon Language Institute (kli.org),B-Distribution-Hosting,schema:Service,V,fair-use-community,https://www.kli.org/,Klingon Language Institute (non-profit),Founded by Lawrence M. Schoen,1992,kli.org; ISSN 1061-2327 (HolQeD),Organizational content; fair-use community,Web; print journal archive; events,1992-2026,KLI; Klingon; institution; canon,vault:conlang-a02; vault:conlang-a01; vault:conlang-d07,"Canon-guarding institution for Klingon: new-word ledger, HolQeD journal (1992-2004), annual qep'a', certification program.",The archetypal guards_canon_of node; partner to Duolingo and Microsoft.,,2026-09-11
vault:conlang-b03,Omniglot,B-Distribution-Hosting,schema:Service,V,creator-owned,https://www.omniglot.com/,Simon Ager,Simon Ager,1998,omniglot.com,Creator-owned; ad/affiliate/Patreon supported,Web,1998-2026,scripts; writing-systems; reference; conscripts,vault:conlang-c04,Encyclopedia of writing systems and languages; central cross-franchise reference hub for constructed and fictional scripts.,Best cross-franchise script-reference aggregator.,,2026-09-11
vault:conlang-b04,LearnNavi.org,B-Distribution-Hosting,schema:Service,C,fair-use-community,https://learnnavi.org/,LearnNavi community,Community,2009-2026,learnnavi.org,Fair-use community,Web; Discord; tooling (Eana Eltu),2009-2026,Na'vi; Avatar; institution; community,vault:conlang-a05,"Community organization invited by Paul Frommer to co-develop Na'vi; hosts the authoritative dictionary, audio, and lessons.",Best-practice creator-community hosts and teaches node; live canon feed from naviteri.org.,,2026-09-11
vault:conlang-b05,Language Creation Society (LCS),B-Distribution-Hosting,schema:Service,V,open-license,https://conlang.org/,"Language Creation Society (non-profit, San Diego)",Founded 2007; historically led by Sai Emrys,2007,conlang.org,Organizational content,Web; events; journal,2007-2026,LCS; profession; institution; conlanging,vault:conlang-b06,"The professional body of conlanging; staffed HBO's Dothraki search, runs Fiat Lingua, Lexember, and the LCC conferences.",The field's professional-network hub connecting creators to studios.,,2026-09-11
vault:conlang-b06,Fiat Lingua,B-Distribution-Hosting,schema:Service,V,open-license,https://fiatlingua.org/,Language Creation Society,Editorial team,2011,fiatlingua.org,CC-licensed articles,Web; PDF archive,2011-2026,journal; scholarship; conlanging; LCS,vault:conlang-b05,The de facto journal of conlang scholarship; monthly CC-licensed PDF archive since 2011.,The domain's citable scholarly record and natural cites backbone.,,2026-09-11
vault:conlang-b07,Publisher Channels (Pocket Books; Penguin Random House / Living Language),B-Distribution-Hosting,schema:Service,V,franchise-ip,https://www.penguinrandomhouse.com/,Simon & Schuster; Penguin Random House,Various,1985-2015,ISBN-anchored catalog,All rights reserved (licensed products),Print; audio; retail,1985-2026,publishing; ISBN; licensed; distribution,vault:conlang-a01; vault:conlang-d09; vault:conlang-d10,"The licensed, ISBN-anchored commercial layer distributing the canonical printed conlang assets.",Where franchise IP and conlang data formally intersect.,,2026-09-11
vault:conlang-b08,App Stores (Google Play / Apple App Store),B-Distribution-Hosting,schema:Service,S,franchise-ip,https://play.google.com/,Google; Apple,Platform operators,ongoing,store listings,Platform terms; per-app rights vary,Mobile app stores,2011-2026,apps; distribution; mobile,vault:conlang-d06,"Distribution channel for conlang apps, principally boQwI'.",The mobile distribution layer; all figures are store self-reports.,,2026-09-11
vault:conlang-b09,"Fan Wikis (Fandom, Wiktionary, Wikibooks, Linguifex)",B-Distribution-Hosting,schema:Service,U,fair-use-community,https://linguifex.com/,Various platforms and communities,Community,ongoing,multiple,Mixed wiki licenses; fair-use content,Web wikis,2005-2026,wikis; community; hosting; fragmentation,,Distributed hosting of conlang lexicons and grammars across wiki platforms.,"High reach, low provenance discipline; the fragmentation problem in microcosm.",,2026-09-11
vault:conlang-c01,Tengwar & Cirth (Tolkien's Scripts),C-Visualizations-Schematics,schema:CreativeWork,V,franchise-ip,https://tolkiengateway.net/wiki/Tengwar,Tolkien Estate (IP),J.R.R. Tolkien,1955 (LotR appendices),DTS/DCS specimina,All rights reserved (estate); scholarly reproduction fair-use,Print appendices; scholarship,1955-2026,Tengwar; Cirth; Tolkien; script,vault:conlang-a03; vault:conlang-c05,Tolkien's own writing systems with canonical charts; indexed by Mellonath Daeron's DTS/DCS specimina catalogs.,The most-reproduced conlang visualization set; core of any script-chart product.,,2026-09-11
vault:conlang-c02,Klingon pIqaD,C-Visualizations-Schematics,schema:CreativeWork,C,franchise-ip,https://www.kli.org/about-klingon/klingon-writing/,Paramount/CBS (design); KLI (systematization),Franchise design; KLI community,1980s-2026,kli.org,Franchise IP; community systematization,Fonts; translator output; reference pages,1984-2026,pIqaD; Klingon; script,vault:conlang-d07; vault:conlang-b02,"The Klingon writing system, decorative on screen with Latin transliteration as working orthography; digital support in Bing Translator and dCode.",Iconic franchise script with digital tooling support.,,2026-09-11
vault:conlang-c03,Dovahzul Runes,C-Visualizations-Schematics,schema:CreativeWork,C,franchise-ip,https://www.thuum.org/learn/,Bethesda Softworks,Bethesda Game Studios,2011,thuum.org spellings; Kazmirus font,Franchise IP; fan fonts fair-use,In-game; dictionary spellings; fonts,2011-2026,Dovahzul; runes; Skyrim; script,vault:conlang-a07,The dragon runic script carved on Skyrim's Word Walls; per-word rune spellings in the Thuum.org Fourth Edition dictionary; fan fonts exist.,Game-native script with strong visual-merchandise potential.,,2026-09-11
vault:conlang-c04,Chakobsa Abugida (Dune films),C-Visualizations-Schematics,schema:CreativeWork,C,franchise-ip,https://www.omniglot.com/conscripts/chakobsa.htm,Legendary (IP),David J. and Jessie Peterson,2021-2024,Omniglot conscript page,Franchise IP,Film; font; reference page,2021-2026,Chakobsa; abugida; Dune; script,vault:conlang-a09; vault:conlang-b03,Left-to-right abugida designed for the 2021/2024 films; consonant glyphs change shape by attached vowel; official typeable font.,Newest canonical constructed script with an official font.,,2026-09-11
vault:conlang-c05,Tolkien Language Family Trees,C-Visualizations-Schematics,schema:CreativeWork,V,franchise-ip,https://eldamo.org/,Tolkien Estate (originals),J.R.R. Tolkien,1930s-1973,Eldamo period model; Ardalambion analyses,Estate IP; scholarly reproduction fair-use,Print; scholarship; data model,1930-2026,Tolkien; family-tree; diagram; Elvish,vault:conlang-a03; vault:conlang-d08,"Tolkien's own diagrams of Elvish descent, reflected in Eldamo's period model and Fauskanger's evolution analyses.",The canonical derived_from visualization; a template for conlang genealogy diagrams.,,2026-09-11
vault:conlang-d01,PolyGlot (Language Construction Kit),D-Technology-Tools,schema:SoftwareApplication,V,open-license,https://draquet.github.io/PolyGlot/,Draque Thompson,Draque Thompson,ongoing,github.com/DraqueT/PolyGlot,MIT,Windows/macOS/Linux desktop,2014-2026,conlang-tool; desktop; open-source; lexicon,,"Open-source desktop conlang toolkit: lexicon, grammar guide, auto conjugation, orthography, etymology trees, word generator, audio.",Leading free and open desktop documentation tool; natural export target for a standardized format.,,2026-09-11
vault:conlang-d02,Vulgar (Vulgarlang),D-Technology-Tools,schema:SoftwareApplication,C,creator-owned,https://www.vulgarlang.com/,Linguistx,Linguistx,ongoing,vulgarlang.com,Proprietary freemium,Web app; paid license,2017-2026,conlang-tool; generator; commercial,,"One-click commercial generator of phonology, grammar, and lexicon, with a sound-change tool and online dictionary deployment.",Dominant commercial generator; strong for rapid worldbuilding.,,2026-09-11
vault:conlang-d03,ConWorkShop (CWS),D-Technology-Tools,schema:SoftwareApplication,U,fair-use-community,https://conworkshop.com/,ConWorkShop community,Community,ongoing,conworkshop.com,Community platform,Web,2014-2026,conlang-tool; community; typology; CALS,,Web-based conlang creation and community platform with courses and the CALS cross-conlang typological atlas.,The community and analytics layer; CALS is a rare structured typological dataset for conlangs.,,2026-09-11
vault:conlang-d04,Zompist SCA2 (Sound Change Applier 2),D-Technology-Tools,schema:SoftwareApplication,V,open-license,https://www.zompist.com/sca2.html,Mark Rosenfelder,Mark Rosenfelder,2012,zompist.com/sca2.html,Freely provided,Browser; Unicode,2012-2026,sound-change; diachronic; conlang-tool,vault:conlang-d05,Browser-based tool applying ordered sound changes to a lexicon to derive descendants or reconstruct proto-forms.,The canonical diachronic tool and reference implementation.,,2026-09-11
vault:conlang-d05,Lexurgy,D-Technology-Tools,schema:SoftwareApplication,C,open-license,https://www.lexurgy.com/sc,Brad Neimann (bradrn),Brad Neimann,ongoing,lexurgy.com,Open source,Web,2020-2026,sound-change; conlang-tool; active-development,vault:conlang-d04,"Successor-class sound-change applier and word generator with multigraph support, suprasegmentals, and daughter-language derivation.",The modern power-user SCA.,,2026-09-11
vault:conlang-d06,boQwI' (Klingon Language Assistant),D-Technology-Tools,schema:SoftwareApplication,C,fair-use-community,https://github.com/De7vID/klingon-assistant-data,Daniel L. Yonge-Mallo (De'vID),De'vID,2011-2026,Play/App Store; GitHub data repo,Open-source data; app store distribution,Android/iOS; GitHub,2011-2026,Klingon; app; canon; open-data,vault:conlang-a01; vault:conlang-a02; vault:conlang-b08,"Klingon lexicon, canon search, and grammar parser app, updated within days of qep'a' word reveals; open data repository.",Best-in-class living-canon dictionary app; model for canon-tracked repositories.,,2026-09-11
vault:conlang-d07,Microsoft Bing Klingon Machine Translation,D-Technology-Tools,schema:SoftwareApplication,V,franchise-ip,https://www.microsoft.com/en-us/translator/blog/2013/05/14/announcing-klingon-for-bing-translator/,Microsoft,Microsoft Translator team with KLI and Okrand,2013-05-14,microsoft.com/translator,Proprietary service,Bing Translator; API,2013-2026,Klingon; machine-translation; Microsoft,vault:conlang-a11; vault:conlang-b02; vault:conlang-c02,"First and only commercial-grade conlang MT engine, built with the KLI, Marc Okrand, and Microsoft engineer Eric Andeen; Latin and pIqaD output.",The only commercial conlang MT; its pipeline seeded academic MT experiments.,,2026-09-11
vault:conlang-d08,Ardalambion (+ Quenya Course),D-Technology-Tools,schema:SoftwareApplication,V,fair-use-community,https://ardalambion.net/,Helge Kare Fauskanger,Helge Kare Fauskanger,1997,ardalambion.net,Scholarly fair-use,Web; downloadable course,1997-2026,Tolkien; Quenya; Sindarin; scholarship,vault:conlang-a03; vault:conlang-a04; vault:conlang-c05,"The scholarly backbone of Elvish study: grammars, corpus analyses, the Quenya Course, and the Quettaparma Quenyallo wordlist.",Primary scholarly source feeding Eldamo and Elfdict.,,2026-09-11
vault:conlang-d09,Living Language Dothraki,D-Technology-Tools,schema:SoftwareApplication,V,franchise-ip,https://www.penguinrandomhouse.com/books/234739/living-language-dothraki-by-david-j-peterson/,HBO (IP); Penguin Random House / Living Language (publisher),David J. Peterson,2014-10-07,ISBN:9780804160865,All rights reserved (licensed product),Print + audio CD,2014-2026,Dothraki; course; licensed; audio,vault:conlang-a06; vault:conlang-b07,"Official conversational Dothraki course: 128-page guide plus one-hour audio CD, 500+ words and phrases including course-exclusive coinage.",Canonical licensed learning product for a screen conlang; commercial precedent for the GamingToolset line.,,2026-09-11
vault:conlang-d10,The Art of Language Invention,D-Technology-Tools,schema:SoftwareApplication,V,creator-owned,https://www.penguinrandomhouse.com/books/316207/the-art-of-language-invention-by-david-j-peterson/,Penguin (publisher),David J. Peterson,2015,ISBN:9780143126461,All rights reserved,Print; companion site,2015-2026,methodology; reference; Peterson; construction,vault:conlang-b07,"The definitive practitioner's manual for conlang construction, with companion online course and video series.",The field's canonical methodology reference and citation anchor.,,2026-09-11
vault:conlang-d11,ConlangCrafter (LLM conlang generation),D-Technology-Tools,schema:SoftwareApplication,V,open-license,https://arxiv.org/pdf/2508.06094,Tel Aviv University; UC Berkeley,"Alper, Yanuka, Giryes, Begus",2025,arXiv:2508.06094; conlangcrafter.github.io,Open (paper),arXiv; project site,2025-2026,LLM; generation; NLP; research,vault:conlang-a10,"Multi-stage LLM pipeline generating internally consistent, typologically diverse conlangs, treating model confabulation as a creative feature.",State of the art in AI conlang generation; the emerging AI-tool frontier.,,2026-09-11
